"imageID";"directoryName";"collectionDate";"acquisitionDate";"plotLocation";"variety";"symptom";"Chl";"Flav";"NBI"
"Fdga1";"2020-09-10_003";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";13.059;3.736;3.5
"Fdga2";"2020-09-10_004";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";11.519;3.946;2.92
"Fdga3";"2020-09-10_005";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";15.52;3.826;4.06
"Fdga4";"2020-09-10_006";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";11.545;3.172;3.64
"Fdga5";"2020-09-10_007";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";10.011;3.968;2.52
"Fdga6";"2020-09-10_008";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";15.046;3.686;4.08
"Fdga7";"2020-09-10_009";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";10.799;3.243;3.33
"Fdga8";"2020-09-10_010";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";12.477;4.157;3
"Fdga9";"2020-09-10_011";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";19.362;3.175;6.1
"Fdga10";"2020-09-10_012";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"flavescence doree";11.585;3.126;3.71
"Okga1";"2020-09-10_013";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"healthy";32.476;3.079;10.55
"Okga2";"2020-09-10_014";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"healthy";19.7;3.454;5.7
"Okga3";"2020-09-10_015";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"healthy";24.074;3.258;7.39
"Okga4";"2020-09-10_016";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"healthy";25.855;3.755;6.89
"Okga5";"2020-09-10_017";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"healthy";21.365;2.763;7.73
"Noga1";"2020-09-10_018";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"water stress";18.601;3.532;5.27
"Noga2";"2020-09-10_019";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"buffalo treehopper";15.699;3.254;4.82
"Noga3";"2020-09-10_020";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"buffalo treehopper";14.978;3.56;4.21
"Noga4";"2020-09-10_021";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"green leafhopper";19.495;3.451;5.65
"Noga5";"2020-09-10_022";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"water stress";27.394;3.705;7.39
"Noga6";"2020-09-10_023";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"green leafhopper";23.273;3.777;6.16
"Noga7";"2020-09-10_024";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"wood diseases";7.983;3.418;2.34
"Noga8";"2020-09-10_025";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"green leafhopper";19.099;3.516;5.43
"Noga9";"2020-09-10_026";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"buffalo treehopper";31.67;3.539;8.95
"Noga10";"2020-09-10_027";"10/09/2020";"10/09/2020";"Couffouleux";"Gamay";"green leafhopper";19.982;3.402;5.87
"Fdfe1";"2020-09-10_028";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";19.318;3.782;5.11
"Fdfe2";"2020-09-10_029";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";12.452;3.844;3.24
"Fdfe3";"2020-09-10_030";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";24.492;4.032;6.07
"Fdfe4";"2020-09-10_031";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";25.115;4.45;5.64
"Fdfe5";"2020-09-10_032";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";21.445;4.029;5.32
"Fdfe6";"2020-09-10_033";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";24.807;4.105;6.04
"Fdfe7";"2020-09-10_034";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";16.351;3.69;4.43
"Fdfe8";"2020-09-10_035";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";21.16;4.01;5.28
"Fdfe9";"2020-09-10_036";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";22.597;4.169;5.42
"Fdfe10";"2020-09-10_037";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"flavescence doree";21.465;3.92;5.48
"Okfe1";"2020-09-10_038";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"healthy";34.279;3.349;10.23
"Okfe2";"2020-09-10_039";"10/09/2020";"10/09/2020";"Couffouleux";"Fer";"healthy";29.469;3.447;8.55
